id,name,location,avgScore,heat,introduction,openTime,image_url,avg_score,open_time
1,丽江古城5A,云南省丽江市古城区七星街,4.7,8,丽江古城又名大研镇，是茶马古道上有名的城镇之一，影视剧《一米阳光》、《木府风云》等都在此取过景。古城内木楼青瓦，古街石巷，小桥流水，站在古城东大街上，举头即可遥望玉龙雪山，景色十分秀丽。丽江古城依山而建，街巷依水流而设，曾经是茶马古道的交易市场。古城内从四方街延伸出光义街、七一街、五一街和新华街四条主干道，四条路又衍生出纵横交错的街巷，构成了以四方街为中心的古城。当年被徐霞客盛赞的木土司王府木府，就位于七一街关门口附近，在这里可以感受纳西民族建筑的内涵。玉河水在城中一分为三，三分成九，再分成无数条水渠，形成主街傍河、小巷临渠的局面，使得古城充满生机。古城里遍布经营各地特产的店铺，有民族饰品、茶叶、银器、披肩等。此外，这里有众多餐馆，无论是本地风味，还是西餐披萨，一切都能让你大饱口福。,全年 全天开放,https://dimg04.c-ctrip.com/images/100d0m000000dfh4kDA7D_D_521_391.jpg,0,
2,大理古城4A,云南省大理白族自治州大理市一塔路42号,4.7,8.1,大理古城位于风光秀丽的苍山脚下，是古代南诏国和大理国的都城。这里是个适合生活的地方，当地人日出而作日落而息，闲时养花草晒太阳，加之阳光明媚温度适宜，吸引游客无数。白天必逛在古城，白天你可以逛逛复兴路，复兴路是古城的一条步行街，街两边有众多店铺，经营大理石雕刻、民族服饰和当地特色食品等当地特产。在各色店铺间穿行流连，可以淘些有民族特色的小东西，累了饿了，路边的小吃店也能吃到有特色的当地小吃。古城夜生活夜间，你可以像混在当地的人们一样，聚集在洋人街和人民路一带，这里有超多的特色酒吧和小咖啡馆，有些店里还有驻场歌手或者游人的即兴演出，热闹非凡。你尽可以在酒杯和音乐间寻觅那一份属于你的活色生香。,全年 全天开放,https://dimg04.c-ctrip.com/images/100n0h0000008rbfs673A_D_521_391.jpg,0,
3,普达措国家公园5A,迪庆藏族自治州香格里拉市建塘镇红坡村,4.3,8.2,普达措国家公园位于大香格里拉风景区的中心区域，是世界自然遗产“三江并流”的重要组成部分， 由碧塔海、属都湖和弥里塘亚高山牧场为主要组成部分（从2017年9月3日起，碧塔海核心景区和弥里塘亚高山牧场全线封闭，停止对外接待游客）。公园内主要的两个湖泊：属都湖、碧塔海，分别位于公园的南北两侧，相距10余公里。两湖之间有洛茸村、弥里塘草原等景点。因距离较远，游人一般都乘坐环保观光车，根据车行路线游玩。入口处乘坐景区环保观光车，约20分钟可抵达属都湖景区。属都湖湖水清澈碧蓝，湖畔是一片绵延的高原牧场，春夏季节，草场上野花盛开，非常漂亮。冬季的清晨，湖面上水汽凝结，像一层白雾弥漫在水面上，只有搭乘清早的第一班车到此，方可观赏到这一奇景。草场沿湖搭建有步行栈道，走完一圈大约需要一个小时。栈道尽头就是环保车站，游玩结束上车抵达下一个目的地。环保车的下一站是弥里塘草原，平坦开阔。环保车继续前行，会经过公园游客服务站，这里有桑错卡餐厅，条件虽然一般，价格也不便宜。但如果真的累了饿了又没有自带干粮的话，也只能在此吃午餐，顺便休息一下。碧塔海是环保车路线的末站，也是此行的重头。碧塔海在藏语里是意思是“栎树成毡的海子”，顾名思义，湖畔栎树茂密如绿色的毡子。栎树林间生长有大量杜鹃花，每年5-6月春暖花开时，杜鹃花瓣掉落水中，鱼儿吃了含微毒的杜鹃花，纷纷浮上水面，这就是碧塔海有名一景：杜鹃醉鱼。碧塔海湖畔也建有栈道，沿着栈道缓缓前行，可至湖畔码头。湖中有游船，可环湖游览山光水色。,全年 08:30-16:00开放,https://dimg04.c-ctrip.com/images/010341200089z97r613F9_D_521_391.jpg,0,
4,石林风景区5A,云南省昆明市石林彝族自治县石林大道,4.7,8.8,石林景区位于昆明石林县，是昆明的重点景点之一。石林是典型的喀斯特特色地貌，石峰、石芽、落水洞、地下河遍布，峰林幻化成各种形态，剑状、塔状、蘑菇状等等，千奇百怪美轮美奂。石林景区的几大片区分布较为疏散，以大小石林景区为中心，乃古石林位于大小石林景区以北约12公里处，大叠水景区位于大小石林景区西南约29公里处，长湖景区则位于大小石林景区东南方26公里处。常规的游玩石林多指大小石林。大小石林位于同一区域，大门口购票进去后，沿着甬道前行20分钟，左手边即是规模较小、石峰略为平缓的小石林景区，在一片茂密的峰丛中，有名的阿诗玛石即屹立在此，巍峨的峰林幻化成一位亭亭玉立的彝族姑娘阿诗玛，仿佛正在向你招手，这里是游人喜爱的合影之地。除了俊俏的阿诗玛，小石林区还有神骏、簇石擎天等景观，无不形态各异。这可是考验想象力的时候，如果你的想象力不够丰富，建议请一位导游，在他的引导下，你会对眼前的峰林有全新的认识。沿着公路缓缓前行，路边依次是唐僧石、石监狱、凤凰梳翅、灵芝石等，无不栩栩如生，惟妙惟肖，以各种姿态向你展示着大自然的造化奇功。沿着甬道前行，不经意间就来到大石林区，经过“双鸟渡食”“犀牛望月”“莲花峰”“石林胜境”“石屏风”等奇景，也走的有点累了吧，在狮子亭稍作休息，欣赏对面狮子池的峰林倒影，也不失为一种宁静的享受。看多了峰林，难免会有一些审美疲劳。是时候看看水景啦。乘上石林湖的游船，泛舟湖上，山光水色集于一处，所有的压力苦恼全都消失了。如果不想走路这么累，景区内有彝族姑娘开着电瓶车在景区间穿梭，招手即停。也一样可以饱览石林奇观，遇到热心的女司机，还会讲解一点小典故。乃古石林位于大小石林以北13公里处，也叫新石林或摩寨石林，石林景观、白云湖、石峰山、幽谷仙瀑组成。与大小石林相比，这里又是另外一种风格。这里的峰林整体呈灰黑色，石柱高大密集，有城堡状、塔状、蘑菇状等，古朴粗犷的怪石如浪涛般冲天而起，气势磅礴，漫步黑色的峰林中，仿佛进入荒蛮世界。,全年 07:30-18:00开放,https://dimg04.c-ctrip.com/images/10011f000001h392tDEBC_D_521_391.jpg,0,
5,玉龙雪山5A,云南省丽江市玉龙纳西族自治县雪花村,4.5,9.1,"玉龙雪山是丽江知名景点之一，也是纳西族心中的神山，一共13座山峰连绵起伏，似银龙飞舞，因此得名。景区内可以直接乘坐索道上山，轻松欣赏高海拔冰川的瑰丽，是很多游客来此游玩的亮点。雪山概述玉龙雪山以""险、奇、美、秀""著称。从山脚到山顶，有亚热带、温带、寒带等多级景观逐级。山脚的甘海子，是一片辽阔的牧场，春夏之际，草甸上龙胆兰、杜鹃盛放，在这里远望，玉龙群峰历历在目。海拔3200多米的云杉坪，更是纳西青年男女心中的圣地。这里是一片幽静的草甸，四周古木参天藤萝密布，环境幽静。玉龙十三峰下有19条现代海洋性冰川，远望如一片瀑布悬挂于扇子陡下方，在阳光的照耀下，泛着银光。游人可乘坐大索道抵达4506米的高度后，沿着山间栈道近距离观赏冰川和主峰的雄姿。大索道景区受欢迎的索道，将游人从位于甘海子的索道下站运送到海拔4506米的冰川公园。下了索道，沿着冰川上铺设的木质栈道，可一直行进到海拔4680米的最高处，近距离感受雪山和冰川的魅力。如遇大风天气，可能会停运，具体请留意官方消息。云杉坪索道索道下站位于雪山脚下白水河畔，乘坐景区环保巴士可达。乘坐云杉坪索道可抵达海拔3240米的云杉坪，这里是远观玉龙雪山群峰的好位置。牦牛坪索道牦牛坪是位于玉龙雪山另一侧面的一块大草坪，距离云杉坪约15公里。登上牦牛坪，可以从另一角度观赏玉龙雪山。",全年 07:30-16:30开放，景区根据客流量不定期调整开放时间，客流量大：07:30 - 16:30，客流量小：07:30 - 15:30,https://dimg04.c-ctrip.com/images/0106s120009lagj5n461E_D_521_391.jpg,0,
6,洱海游船,大理白族自治州大理市大理港码头,4.2,7.5,乘坐洱海游船，可以远观小普陀岛，登南诏风情岛，近距离观看汉白玉观音像。船上设施齐全，可以欣赏到具有浓郁民族特色的白族三道茶歌舞表演，领略白族人们热情独特的歌舞风情。,全年 08:30-16:20开放，以具体游船运营班次为准,https://dimg04.c-ctrip.com/images/100o1f000001gp5da5B10_D_521_391.jpg,0,
7,虎跳峡(香格里拉段)4A,迪庆藏族自治州香格里拉市虎跳峡镇东环线虎跳峡风景名胜区香格里拉上虎跳景区内,4.6,8.4,虎跳峡是世界上落差较大的峡谷，位于香格里拉县虎跳峡镇东部，分为上、中、下虎跳三段，全长约20公里。金沙江奔流至此，被玉龙、哈巴两大雪山所挟峙，江面窄处仅二三十米，加上巨大的落差，江水奔腾汹涌。除了雄奇的自然风光，虎跳峡更是世界知名的徒步胜地，每年慕名而来的户外爱好者络绎不绝。走过中虎跳，下到江边，你才能真正领略到虎跳峡恢宏磅礴的气势。虎跳峡以奇、险、雄、壮著称。其中，上虎跳以“峡口”和“虎跳石”称雄，中虎跳以“满天星”和“一线天”为险，而下虎跳则以“高峡出平湖”和“大具风光”为美。上虎跳上虎跳是虎跳峡的上段，距离虎跳峡镇约9公里，是整个虎跳峡窄的一段。其中观景台附近，宽度仅有不足30米，江心雄踞一块三角形巨石，把激流一分为二，溅起如雪的浪花和阵阵涛声。传说曾有一猛虎借江心这块巨石，从玉龙雪山一侧，一跃而至哈巴雪山这侧，所以此石得名：虎跳石。上虎跳开发较早，修有栈道可以从路边下至江边，脚程快的人20分钟即可。因为道路简单易行，路程较近，难度较低，有人戏称上虎跳为“老年人活动中心”。中虎跳中虎跳在上虎跳之下，距离上虎跳观景台约8公里路程。中虎跳峡口略宽，江面相对开阔，但险滩众多。江水在礁石区穿行，在阳光的照耀下，波光粼粼，仿佛漫天闪耀的星星，故称：满天星。沿着“张老师小路”蜿蜒下行，小路狭窄崎岖，至江边约需40分钟。江边怪石嶙峋，江水激荡奔涌，溅起水雾一片，可以看到绮丽的彩虹。返回公路的山路有两条，分别是张老师客栈修建的“108级勇者梯”和天梯客栈修筑的“天梯”路，沿着山路蜿蜒上行，攀爬上几近垂直的天梯，手脚并用的回到公路上后，无不大汗淋漓。但回看对面苍茫的玉龙雪山和脚下奔腾的金沙江，还有远处峡谷中的一线天空，你会觉得所有的辛劳都是值得的。下虎跳从中虎跳沿着公路前行，经过山体松动滚石连连的“滑石板”，眼前忽然一片开阔，江面变得开阔，江水趋于平缓，宛如峡谷中出现了一个巨大的水库，这里就是下虎跳。远处阡陌纵横，炊烟袅袅，已是丽江市的大具乡了。,全年 08:30-17:30开放,https://dimg04.c-ctrip.com/images/0101a120007u6uxdt7118_D_521_391.jpg,0,
8,东川红土地,昆明市东川区新田乡101省道,4.7,5.7,东川红土地位于昆明市东北，因土壤里含铁、铝成分较多，就形成了炫目的赤红色彩。土地被田地和农作物分割成一个个色块，远远看去，五彩斑斓，衬以蓝天白云，更为壮观。这几年，红土地逐渐成为了摄影爱好者的天堂。游玩红土地较佳时间有几个：每年4-5月麦子成熟期间、9-12月荞麦和油菜花旺盛生长的时候和2-3月田间偶有残雪的时候。因红土地各观景点距离较远，如果需要拍摄落霞和日出的话，建议在花石头村住宿。红土地景点较为分散，在花石头村附近有一个明显的三岔路口，是花石头村至红土地镇、东川区和昆明三条公路的交汇点，三条线可以将红土地的主要观景点串联起来，形成三条主要的观景线路：西北线、东北线和南线。游玩红土地简便的方式是包车，在东川城区包车一般每天250-300元不等，这样可以一天内跑完三条线，并且随时可以路边停车，不错过一丝美景。常规的拍摄路线：朝霞在打马坎观赏，其它时间在七彩坡、锦绣田园、乐谱凹、老龙树，傍晚时分到落霞沟拍落日。西北线：景点从南到北有浪大地、锦绣园、七彩坡和打马坎。浪大地位于三岔口以西，层层梯田如翻腾的浪花，故而得名。七彩坡与锦绣园其实是同一片土地，但从不同的角度去观赏，则会带来不同的视觉冲击。由于种植有大片土豆、荞麦等农作物，开花时节，色彩丰富颇为壮观。打马坎位于西北线的北部，是适合拍摄日出的地方。东北线：景点从南到北沿途有大平塘、老龙树、冬瓜湾、落霞沟和月亮田等。老龙树是一株树龄上千年的冷杉，孤独的立在红土地上，古朴而沧桑。每年五月份梯田放水插秧的时候，落霞沟的线条像一面琵琶，而且，落霞沟也是傍晚拍摄夕阳和落霞的好位置之一。月亮田距离花石头村约20公里，梯田景观和峡谷景观在这里结合，层次很丰富，是很多摄影爱好者钟爱的出大片的地方。南线：南线是去往昆明的公路，两侧有乐谱凹、大窝塘、大丫口等观景点。乐谱凹距离花石头村只有一公里多，一层层几乎水平的梯田仿佛七彩的五线谱，田间劳作的农民则是点缀的音符，惟妙惟肖。,全年 全天开放,https://dimg04.c-ctrip.com/images/0106e1200086sl3r59244_D_521_391.jpg,0,
9,青龙峡风景区4A,北京市怀柔区怀北镇大水峪村北500米,4.6,4.1,青龙峡四周青山环抱绿水，空气清新，踏青游山时，沿途还能看到明代古长城，是北京市民休闲度假的好去处。除了自然风光，你也可以参加游船、碰碰船、快艇等水上游戏，图刺激的还能试试蹦极和攀岩。青龙峡内建有水库大坝，将整个景区分为两个部分：南部的高峡平湖区和东岸的极限运动场所。在南部的湖区，景区提供了很多水上运动项目，游客可以在这里乘坐游船或快艇在水面遨游，欣赏两岸风光，也可以在浅水区选择竹伐或手划船，或者去玩玩碰碰船、水上步行球等水上游戏。夏季湖区还有游泳池对外开放。如果你喜欢比较刺激的娱乐项目，那就去景区的东岸吧。在青龙峡景区的东岸设有蹦极跳、攀岩、速降等极限娱乐项目。其中蹦极跳台距离水面约60米；速降全长约300米，落差高达约30米；攀岩高达25米，这些项目都非常具有挑战和刺激性。景区内的水上运动和极限娱乐项目都需要另外付费，具体价格可以参照官网。此外还可以在青龙峡景区内，沿着登山步道步行而上（或者乘坐观光缆车，单程10分钟），到达玉皇台，沿途可以欣赏到明代古长城在群山峻岭中蜿蜒曲折，天气晴朗时，在山顶还能遥望怀柔城区和密云水库。景区内有住宿和餐饮服务，但是大多数游客都是当天返回北京市区，不在景区内住宿。,05/25-07/15 08:00-17:00开放,https://dimg04.c-ctrip.com/images/01066120008jhgum5032B_D_521_391.jpg,0,
10,西湖游船,杭州市西湖游船码头,4.5,8.5,西湖沿岸景点众多，乘船游西湖，是领略西湖美景的经典途径之一，湖面上往来的船只和赏景的游人也是西子湖一景。坐在游船上，畅游湖光山色，细观绿波岚影，领略一番西子湖“淡妆浓抹总相宜”的美丽动人风貌。西湖游船有多种船型和线路，价格不一，游人可根据个人喜好进行选择，非常方便。,全年 08:00-16:45开放，具体时间以码头现场为准,https://dimg04.c-ctrip.com/images/0104m12000f6tvy9u6D80_D_521_391.jpg,0,
